376431,"Rated R for some violence, language, nudity and drug use"
664881,"Rated PG-13 for some intense adventure action, brief drug use an"
855792,Rated PG-13 for pervasive action violence (Battle for the Badlan
855792,Rated PG-13 for pervasive action violence (The Dragon's Shadow c
955987,Rated R for language and some nudity
1255053,"Rated R for violence including rape, sexuality and some nudity"
1489120,"Rated R for strong sexuality/nudity, language, violence and drug"
2009931,Rated R for some sexuality
2395933,"Rated R for violence/gore, sexual content/nudity and language"
2427331,"Rated R for some violence, sexuality and language"
2476205,"Rated PG-13 for sexual content, brief nudity and language"
2476224,Rated R for language and brief sexuality and nudity
2476248,Rated R for some violence and brief sexuality/nudity
2476290,"Rated R for strong violence, disturbing images, and language thr"
2476639,Rated PG-13 for brief sexuality and some language
2476774,"Rated R for strong language, drug content and some violence"
2477118,Rated PG-13 for sexual material and language
2477296,Rated R for language and nude images
2477819,Rated R for pervasive strong language including graphic sexual r
2478397,"Rated R for violence, language throughout, some sexual reference"
2478408,Rated R for some disturbing content
2478440,Rated R for language
2478544,"Rated R for crude and sexual content throughout, language, nudit"
2478593,"Rated PG-13 for language, alcohol abuse, some sexual material an"
2478675,Rated PG-13 for sequences of intense action and violence
2478676,Rated R for language and brief nudity
2478692,"Rated R for drug use including teens, and language including sex"
2478716,"Rated R for some strong sexual content including dialogue, langu"
2478774,"Rated R for some strong violence, terror, language and a scene o"
2478821,"Rated R for language, sexuality and drug content"
2478828,Rated R for language
2478866,Rated NC-17 for extreme horror violence
2479427,Rated R for language including sexual references
2479489,"Rated R for strong brutal violence, pervasive language, some dru"
2479572,Rated R for war violence
2479582,"Rated PG-13 for violence/terror, some disturbing images and them"
2479597,Rated R for bloody violence
2479720,Rated R for violence and language
2479730,"Rated R for violence, sexuality and pervasive language"
2479781,"Rated PG-13 for violent images, disturbing content, thematic mat"
2479817,Rated PG-13 for shark attacks
2479825,Rated PG for mild thematic elements including an accident
2479897,Rated PG-13 for intense sequences of violence and action
2479899,"Rated R for violence, language, some sexuality/nudity, and brief"
2479900,Rated R for violence throughout and a scene of sexuality/nudity
2479934,"Rated R for violence/cruelty, some nudity and brief sexuality"
2479939,"Rated R for some violence and sexual content involving minors, a"
2479996,"Rated R for bloody violence, sexual content, nudity and language"
2480067,Rated R for language and some disturbing violent content/bloody 
2480137,"Rated R for disturbing violence, language and brief drug use"
2480168,"Rated R for pervasive strong language, violence and brief sexual"
2480187,Rated PG-13 for some sexual content and brief drug references
2480196,"Rated R for violence including some torture, language and brief "
2480197,"Rated R for strong combat violence throughout, bloody images, an"
2480198,"Rated R for horror violence and some gore, language and drug use"
2480215,"Rated R for strong language, sexuality/nudity and some disturbin"
2480227,"Rated R for horror violence/gore, language and some drug content"
2480231,"Rated R for violence, bloody images and language"
2480256,Rated R for some violent and disturbing images
2480369,Rated R for grisly violence/gore and some sexuality
2480484,Rated PG-13 for thematic material including disturbing sequences
2480598,"Rated R for strong violence, language and some sexuality"
2480669,"Rated R for pervasive strong language, some drug content and vio"
2480765,"Rated PG-13 for violence, intense sequences of action, and some "
2480793,Rated PG for some violence and thematic elements.
2480796,"Rated R for pervasive language, some violent content and sexual "
2480814,Rated PG for mild thematic elements and brief innuendo
2480844,Rated R for pervasive language and some violent images
2480882,"Rated PG-13 for language, some sexual material and teen partying"
2480898,Rated PG for thematic material involving hardships and suffering
2481064,Rated R for language and some nudity
2481395,Rated R for language and sexual content
2481996,"Rated R for language, some violence and a sexual situation"
2482672,Rated R for violence
2482712,"Rated R for violence, sexuality and language"
2482792,"Rated R for language, sexual content, some drug use and brief nu"
2482814,"Rated PG-13 for street racing, violence, language and some sensu"
2482855,"Rated R for violence throughout, language and brief nudity"
2483212,"Rated R for bloody creature violence, some sexuality/nudity and "
2483355,Rated R for some violence
2483585,"Rated R for strong horror violence and gruesome images, sexualit"
2483587,"Rated R for strong bloody violence, crude and sexual content, pe"
2484098,Rated R for pervasive strong violence
2484265,Rated PG-13 for intense disaster sequences and some language
2484298,Rated PG-13 for some violence and disturbing images
2484355,"Rated PG for disaster action and peril, and some language"
2484569,"Rated PG for thematic elements, brief language and smoking image"
2484619,Rated R for sexual content
2484725,"Rated R for crude and sexual content, pervasive language, some g"
2484731,"Rated PG-13 for some violence, and sexual content including part"
2484757,"Rated R for language, sexuality, some violence and drug use"
2484767,"Rated R for crude and sexual content, pervasive language, drug m"
2484899,"Rated R for language throughout, sexual content, drug material, "
2484992,Rated PG-13 for some teen drinking
2485044,Rated R for some violent content
2485107,"Rated R for strong language, drug use and sexuality"
2485197,Rated R for strong violent and disturbing content including tort
2485321,"Rated R for language, a scene of sexuality, some disturbing imag"
2485533,Rated R for strong language and some violence
2485603,"Rated PG-13 for language, some innuendo and sexuality"
2485654,"Rated R for strong violence and gore, language and nudity"
2485677,"Rated R for strong violence and gore, language and some sexualit"
2485733,"Rated R for language, violence, some sexual content and brief dr"
2485780,"Rated R for violence, language and some sexual content/nudity"
2485802,Rated R for language and some drug content
2485960,Rated R for a scene of sexual content
2486007,"Rated R for sexuality/nudity, violence and language"
2486075,"Rated PG-13 for intense sequences of violence and action, some s"
2486144,"Rated PG-13 for thematic material, some disturbing images and cr"
2486240,Rated R for language and some sexual content
2486385,"Rated PG-13 for sexual content, brief nudity, thematic material,"
2486611,"Rated R for sexual content, nudity and language"
2486641,Rated R for strong horror violence and language
2486642,"Rated R for bloody violence, language and some sexual content"
2486676,"Rated R for crude and sexual content, pervasive language, nudity"
2486685,"Rated R for strong crude and sexual content throughout, nudity, "
2486750,Rated R for language and some sexuality
2486823,"Rated R for graphic battle sequences throughout, some sexuality "
2486879,"Rated R for strong violence, sexuality and language"
2486892,Rated R for strong sustained sequences of stylized bloody violen
2486912,"Rated PG-13 for some crude humor, comic violence and language"
2486949,Rated R for language and some violence
2487136,Rated R for some crude sexual content
2487202,Rated R for violence
2487215,"Rated R for sexuality, nudity and language"
2487401,Rated R for violence and some language
2487860,"Rated R for strong sexual content, nudity and language"
2487910,Rated PG for some mild thematic elements
2488073,"Rated PG-13 for violence, sensuality and partial nudity"
2488098,Rated PG-13 for thematic elements including language
2488205,Rated R for pervasive strong language including sexual reference
2488206,Rated R for strong violence and bloody images
2488251,Rated R for language and brief sexuality
2488307,"Rated PG-13 for intense sequences of violence and action, some d"
2488334,Rated PG-13 for brief language and some violence
2488436,"Rated PG for sequences of action violence, some mild language an"
2488455,"Rated R for a scene of strong sexuality, nudity, language and so"
2488604,"Rated R for strong bloody violence, a sexual assault and languag"
2488624,"Rated R for strong bloody war violence and atrocities, and for p"
2488644,PG-13 for language and some nude images
2488858,Rated R for violence and brief language
2488893,Rated R for some sexual material
2488963,Rated PG-13 on appeal for crude sexual humor and drug references
2489041,"Rated R for sexuality, language and drug use"
2489108,Rated PG-13 for some suggestive material and a bar brawl.
2489140,"Rated R for language throughout, sexual content and some drug us"
2489229,Rated R for bloody violence
2489514,"Rated R for pervasive drug use, language, some sexual content, n"
2489517,"Rated R for strong graphic sexuality, language and some drug con"
2489544,"Rated R for violence, disturbing images, language and sexual con"
2489580,"Rated R for violence including a rape, and brief sexual content "
2489606,Rated R for language including some sexual references
2489632,"Rated R for violent content, disturbing images and terror"
2489778,Rated R for language throughout and some violence
2489929,Rated R for some violent content
2490111,"Rated R for violence, sexuality/nudity and language"
2490250,"Rated R for violence, language and brief sexuality"
2490661,"Rated R for pervasive strong bloody violence, language, sexual c"
2490749,Rated PG - 13 for mature disturbing thematic material involving 
2490784,"Rated R for strong language, sexuality, some violence and drug u"
2490859,Rated R for some sexual content
2490984,Rated R for sexual content/nudity and some violence
2491110,"Rated R for disturbing violent content, brief nudity and languag"
2491143,Rated R for some language/sexual references
2491169,"Rated R for strong sexual content, nudity, language and drug use"
2491215,Rated PG-13 for violence and scary images
2491241,"Rated R for strong sexual content including pervasive dialogue, "
2491331,"Rated R for sequences of strong bloody warfare, pervasive langua"
2491473,Rated PG-13 for intense accident and injury images
2491641,Rated R for violent content and pervasive language
2491715,"Rated R for language including some sexual references, and a bri"
2492273,Rated PG for mild thematic material and brief language
2492323,"Rated PG-13 for intense thematic material, sexual content and a "
2492377,Rated R for language including some sexual references
2492405,Rated PG for mild thematic material and rude humor
2492443,"Rated PG-13 for some violence, language and brief drug use"
2492534,"Rated R for graphic nudity, some strong sexual content, language"
2492578,Rated PG-13 for some sexual content and accident images
2492581,"Rated PG-13 on appeal for language, sex and drug references, and"
2493012,"Rated PG-13 for thematic elements involving bullying, and for br"
2493260,Rated R for violence and some language
2493693,"Rated R for language, some sexual references and drug use"
2493832,"Rated R for strong violence, pervasive language, some sexual con"
2494226,Rated PG for scary sequences and images
2494265,Rated PG for some language
2494286,Rated PG for brief mild language
2494309,Rated PG for language and some rude humor
